id;transactionId;paymentTypeId;amount;rounding;voucherNumber;presence;inputDate;updateDate;input_date;update_date
XAU004.231108.0055;XAU004.231108.0055;VOUCHER;100000;;;1;1699439823;1699439823;"2023-11-08 10:37:03";"2023-11-08 10:37:03"
XAU004.231108.0055;XAU004.231108.0055;CASH;98000;;;1;1699439823;1699439823;"2023-11-08 10:37:03";"2023-11-08 10:37:03"
XAU004.231108.0056;XAU004.231108.0056;VOUCHER;100000;;;1;1699440807;1699440807;"2023-11-08 10:53:27";"2023-11-08 10:53:27"
XAU004.231108.0056;XAU004.231108.0056;VOUCHER;0;;;1;1699440807;1699440807;"2023-11-08 10:53:27";"2023-11-08 10:53:27"
XAU004.231108.0056;XAU004.231108.0056;VOUCHER;-2000;;;1;1699440807;1699440807;"2023-11-08 10:53:27";"2023-11-08 10:53:27"
XAU004.231108.0056;XAU004.231108.0056;VOUCHER;100000;;;1;1699440807;1699440807;"2023-11-08 10:53:27";"2023-11-08 10:53:27"
XAU004.231108.0057;XAU004.231108.0057;VOUCHER;100000;;V000013C2023000351;1;1699441171;1699441171;"2023-11-08 10:59:31";"2023-11-08 10:59:31"
XAU004.231108.0057;XAU004.231108.0057;VOUCHER;98000;;V000013C2023000349;1;1699441171;1699441171;"2023-11-08 10:59:31";"2023-11-08 10:59:31"
XAU004.231108.0058;XAU004.231108.0058;CASH;100000;;;1;1699445852;1699445852;"2023-11-08 12:17:32";"2023-11-08 12:17:32"
XAU004.231108.0058;XAU004.231108.0058;VOUCHER;100000;;V000013C2023000337;1;1699445852;1699445852;"2023-11-08 12:17:32";"2023-11-08 12:17:32"
XAU004.231108.0058;XAU004.231108.0058;VOUCHER;100000;;V000013C2023000309;1;1699445852;1699445852;"2023-11-08 12:17:32";"2023-11-08 12:17:32"
XAU004.231108.0058;XAU004.231108.0058;VOUCHER;96000;;V000013C2023000334;1;1699445852;1699445852;"2023-11-08 12:17:32";"2023-11-08 12:17:32"
XAU004.231108.0059;XAU004.231108.0059;VOUCHER;100000;;V000013C2023000262;1;1699445959;1699445959;"2023-11-08 12:19:19";"2023-11-08 12:19:19"
XAU004.231108.0059;XAU004.231108.0059;VOUCHER;100000;;V000013C2023000318;1;1699445959;1699445959;"2023-11-08 12:19:19";"2023-11-08 12:19:19"
XAU004.231108.0059;XAU004.231108.0059;VOUCHER;44900;;V000013C2023000347;1;1699445959;1699445959;"2023-11-08 12:19:19";"2023-11-08 12:19:19"
XAU004.231110.0063;XAU004.231110.0063;VOUCHER;92800;;V000013C2023000342;1;1699595741;1699595741;"2023-11-10 05:55:41";"2023-11-10 05:55:41"
XAU004.231110.0065;XAU004.231110.0065;CASH;90000;;;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0065;XAU004.231110.0065;VOUCHER;100000;;V000013C2023000336;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0065;XAU004.231110.0065;VOUCHER;100000;;V000013C2023000303;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0065;XAU004.231110.0065;VOUCHER;100000;;V000013C2023000324;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0065;XAU004.231110.0065;VOUCHER;100000;;V000013C2023000340;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0065;XAU004.231110.0065;VOUCHER;5000;;V000013C2023000358;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0065;XAU004.231110.0065;VOUCHER;58582;;V000013C2023000357;1;1699606956;1699606956;"2023-11-10 09:02:36";"2023-11-10 09:02:36"
XAU004.231110.0066;XAU004.231110.0066;VOUCHER;100000;;V000013C2023000350;1;1699607040;1699607040;"2023-11-10 09:04:00";"2023-11-10 09:04:00"
XAU004.231110.0066;XAU004.231110.0066;VOUCHER;50000;;V000013C2023000373;1;1699607040;1699607040;"2023-11-10 09:04:00";"2023-11-10 09:04:00"
XAU004.231110.0066;XAU004.231110.0066;VOUCHER;48000;;V000013C2023000380;1;1699607040;1699607040;"2023-11-10 09:04:00";"2023-11-10 09:04:00"
XAU004.231110.0067;XAU004.231110.0067;CASH;1;;;1;1699607258;1699607258;"2023-11-10 09:07:38";"2023-11-10 09:07:38"
XAU004.231110.0069;XAU004.231110.0069;VOUCHER;100000;;V000013C2023000261;1;1699620864;1699620864;"2023-11-10 12:54:24";"2023-11-10 12:54:24"
XAU004.231110.0069;XAU004.231110.0069;VOUCHER;100000;;V000013C2023000287;1;1699620864;1699620864;"2023-11-10 12:54:24";"2023-11-10 12:54:24"
XAU004.231110.0069;XAU004.231110.0069;CASH;179500;;;1;1699620864;1699620864;"2023-11-10 12:54:24";"2023-11-10 12:54:24"
XAU004.231113.0070;XAU004.231113.0070;CASH;258600;;;1;1699851708;1699851708;"2023-11-13 05:01:48";"2023-11-13 05:01:48"
