id;cashIn;cashOut;transactionId;kioskUuid;cashierId;terminalId;settlementId;close;input_date
17;5000000;0;_S1;;123123;WIN11;XAU004SET000023;1;"2023-08-25 11:02:07"
68;150000;-12000;WIN11.231018.0036;WIN11.231018.0105;123123;WIN11;XAU004SET000023;1;"2023-10-18 03:28:13"
69;0;-25300;WIN11REF000021;refund;123123;WIN11;XAU004SET000023;1;"2023-10-19 07:39:49"
70;0;-28900;WIN11.231019.0037;WIN11REF000022;123123;WIN11;XAU004SET000023;1;"2023-10-19 07:58:35"
71;0;-28900;WIN11.231019.0038;WIN11REF000023;123123;WIN11;XAU004SET000023;1;"2023-10-19 07:59:23"
72;0;-66500;WIN11.231019.0039;WIN11REF000024;123123;WIN11;XAU004SET000023;1;"2023-10-19 08:26:43"
73;0;-43700;WIN11.231019.0040;WIN11REF000025;123123;WIN11;XAU004SET000023;1;"2023-10-19 08:29:06"
74;200000;-64300;WIN11.231019.0043;WIN11000048854;123123;WIN11;XAU004SET000023;1;"2023-10-19 09:10:07"
75;30000;-2800;WIN11.231019.0042;WIN11000048855;123123;WIN11;XAU004SET000023;1;"2023-10-19 09:11:39"
76;1;0;;WIN11000048859;123123;WIN11;XAU004SET000023;1;"2023-10-19 09:53:58"
77;50000;-24250;WIN11.231019.0044;WIN11000048861;123123;WIN11;XAU004SET000023;1;"2023-10-19 09:57:26"
78;2;-1;;WIN11000048862;123123;WIN11;XAU004SET000023;1;"2023-10-19 09:59:27"
79;1;0;WIN11.231019.0045;WIN11000048863;123123;WIN11;XAU004SET000023;1;"2023-10-19 10:08:28"
80;0;-335500;WIN11.231019.0046;WIN11REF000040;123123;WIN11;XAU004SET000023;1;"2023-10-19 10:30:33"
81;0;-25300;WIN11.231020.0049;WIN11REF000043;123123;WIN11;XAU004SET000023;1;"2023-10-20 03:30:43"
82;1;0;WIN11.231020.0050;WIN11000048865;123123;WIN11;XAU004SET000023;1;"2023-10-20 03:35:59"
83;200000;-27300;WIN11.231023.0051;WIN11000048866;123123;WIN11;XAU004SET000023;1;"2023-10-23 06:59:41"
84;750000;-36377;;WIN11000048852;123123;WIN11;XAU004SET000023;1;"2023-10-23 09:33:22"
85;1;0;WIN11.231023.0052;WIN11000048867;123123;WIN11;XAU004SET000023;1;"2023-10-23 09:34:54"
86;65000;-4950;WIN11.231023.0053;WIN11000048868;123123;WIN11;XAU004SET000023;1;"2023-10-23 09:38:34"
87;55000;-3950;WIN11.231023.0054;WIN11.231023.0117;123123;WIN11;XAU004SET000023;1;"2023-10-23 09:54:27"
88;10000;0;;XAU004.231102.0120;123123;XAU004;XAU004SET000023;1;"2023-11-08 09:22:10"
89;16;0;;XAU004.231102.0120;123123;XAU004;XAU004SET000023;1;"2023-11-08 09:46:14"
90;100000;-2000;XAU004.231108.0055;XAU004.231108.0122;123123;XAU004;XAU004SET000023;1;"2023-11-08 10:37:03"
91;100000;0;XAU004.231108.0058;XAU004.231108.0125;123123;XAU004;XAU004SET000023;1;"2023-11-08 12:17:10"
92;90000;0;XAU004.231110.0065;XAU004.231110.0131;123123;XAU004;XAU004SET000023;1;"2023-11-10 08:08:48"
93;2;-1;XAU004.231110.0067;XAU004.231110.0134;123123;XAU004;XAU004SET000023;1;"2023-11-10 09:07:37"
94;200000;-20500;XAU004.231110.0069;XAU004.231110.0135;123123;XAU004;XAU004SET000023;1;"2023-11-10 12:52:58"
95;300000;-41400;XAU004.231113.0070;XAU004.231113.0136;123123;XAU004;XAU004SET000023;1;"2023-11-13 05:01:47"
