id;transactionId;paymentTypeId;amount;rounding;voucherNumber;presence;inputDate;updateDate;input_date;update_date
XAU004.231115.0073;XAU004.231115.0073;CASH;17900;;;1;1700029011;1700029011;"2023-11-15 06:16:51";"2023-11-15 06:16:51"
XAU004.231115.0074;XAU004.231115.0074;VOUCHER;100000;;V000016CC000379;1;1700035629;1700035629;"2023-11-15 08:07:09";"2023-11-15 08:07:09"
XAU004.231115.0074;XAU004.231115.0074;VOUCHER;100000;;V000016CC000340;1;1700035629;1700035629;"2023-11-15 08:07:09";"2023-11-15 08:07:09"
XAU004.231115.0074;XAU004.231115.0074;CASH;667700;;;1;1700035629;1700035629;"2023-11-15 08:07:09";"2023-11-15 08:07:09"
XAU004.231115.0075;XAU004.231115.0075;CASH;816800;;;1;1700039052;1700039052;"2023-11-15 09:04:12";"2023-11-15 09:04:12"
XAU004.231115.0076;XAU004.231115.0076;CASH;22500;;;1;1700040007;1700040007;"2023-11-15 09:20:07";"2023-11-15 09:20:07"
XAU004.231116.0077;XAU004.231116.0077;CASH;100000;;;1;1700105478;1700105478;"2023-11-16 03:31:18";"2023-11-16 03:31:18"
XAU004.231116.0077;XAU004.231116.0077;VOUCHER;100000;;V000017NTL0394;1;1700105478;1700105478;"2023-11-16 03:31:18";"2023-11-16 03:31:18"
XAU004.231116.0077;XAU004.231116.0077;VOUCHER;100000;;V000017NTL0380;1;1700105478;1700105478;"2023-11-16 03:31:18";"2023-11-16 03:31:18"
XAU004.231116.0077;XAU004.231116.0077;CASH;479000;;;1;1700105478;1700105478;"2023-11-16 03:31:18";"2023-11-16 03:31:18"
XAU004.231116.0078;XAU004.231116.0078;CASH;61850;;;1;1700105591;1700105591;"2023-11-16 03:33:11";"2023-11-16 03:33:11"
